year,year_month,patch,seedling,group,grouped,id2017,id2017_conf,dist_nedge,treat_det,root_sub_det,treat_simp,root_sub_simp,surface_waterdepth,total_height,green_height,subsurf_to_tip,green_nodes1,green_nodes2,tip_nodes,health_orig,health,vigor,vigor_all,accounted_for,present,newly_dead,dead,notes,notes2
2018,2018-Mar,Transition,PRDT08_02B,PRDT08_02,1,73,High,33.5,"OROB, D-SPMA","OROB peat, sapric peat",Other,Fibric peat,,,,,,,,B,Brown,4,4,1,1,0,0,,
2019,2019-Mar,Transition,PRDT08_02B,PRDT08_02,1,73,High,33.5,"OROB, D-SPMA","OROB peat, sapric peat",Other,Fibric peat,,21.5,,17.5,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT08_02A,PRDT08_02,1,72,High,33.2,S,SP,SPMA,Sapric peat,,21.5,4,15,23,,,g,Green,1,1,1,1,0,0,"""curved"" top to leader",
2014,2014-Mar,Transition,PRDT08_02A,PRDT08_02,1,72,High,33.2,S,SP,SPMA,Sapric peat,,,3,15,17,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT08_02A,PRDT08_02,1,72,High,33.2,S,SP,SPMA,Sapric peat,,21.5,3,14.5,13,,,y,Yellow,2,2,1,1,0,0,yg/b,RC
2017,2017-Mar,Transition,PRDT08_02A,PRDT08_02,1,72,High,33.2,S,SP,SPMA,Sapric peat,,18,,15,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT08_02A,PRDT08_02,1,72,High,33.2,S,SP,SPMA,Sapric peat,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT08_02A,PRDT08_02,1,72,High,33.2,S,SP,SPMA,Sapric peat,,22.5,,12.5,,,,G/B,Green-brown,1,1,1,1,0,0,top dead,
2013,2013-Mar,Transition,PRDT09_01,PRDT09_01,0,74,High,4,OROB,sapric peat,Other,Sapric peat,,29.5,15,26,26,,,g,Green,1,1,1,1,0,0,1 lwr WD branch (shade),
2014,2014-Mar,Transition,PRDT09_01,PRDT09_01,0,74,High,4,OROB,sapric peat,Other,Sapric peat,,,7,26,18,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_01,PRDT09_01,0,74,High,4,OROB,sapric peat,Other,Sapric peat,,28,3,26,15,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT09_01,PRDT09_01,0,74,High,4,OROB,sapric peat,Other,Sapric peat,,29.5,,27,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_01,PRDT09_01,0,74,High,4,OROB,sapric peat,Other,Sapric peat,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_01,PRDT09_01,0,74,High,4,OROB,sapric peat,Other,Sapric peat,,29.5,,27,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT09_02,PRDT09_02,0,75,High,11,MUNA,"sapric peat, almost MP",Other,Sapric peat,,22.5,5.5,19,20,,,g,Green,1,1,1,1,0,0,shade,
2014,2014-Mar,Transition,PRDT09_02,PRDT09_02,0,75,High,11,MUNA,"sapric peat, almost MP",Other,Sapric peat,,,4,19.5,15,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_02,PRDT09_02,0,75,High,11,MUNA,"sapric peat, almost MP",Other,Sapric peat,,22.5,1.5,20,13,,,b/g,Brown-green,3,3,1,1,0,0,b/g,RC
2017,2017-Mar,Transition,PRDT09_02,PRDT09_02,0,75,High,11,MUNA,"sapric peat, almost MP",Other,Sapric peat,,25,,20,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_02,PRDT09_02,0,75,High,11,MUNA,"sapric peat, almost MP",Other,Sapric peat,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_02,PRDT09_02,0,75,High,11,MUNA,"sapric peat, almost MP",Other,Sapric peat,,23.5,,20.5,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT09_03B,PRDT09_03,1,77,High,18.6,MUNA/MYNU,sapric peat,Other,Sapric peat,,28.5,15.5,25.5,35,24,,g,Green,1,1,1,1,0,0,2 other leaders/WD L B,
2014,2014-Mar,Transition,PRDT09_03B,PRDT09_03,1,77,High,18.6,MUNA/MYNU,sapric peat,Other,Sapric peat,,,8,26.5,31,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_03B,PRDT09_03,1,77,High,18.6,MUNA/MYNU,sapric peat,Other,Sapric peat,,27.5,3,25.5,21,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT09_03B,PRDT09_03,1,77,High,18.6,MUNA/MYNU,sapric peat,Other,Sapric peat,,31,,27,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_03B,PRDT09_03,1,77,High,18.6,MUNA/MYNU,sapric peat,Other,Sapric peat,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_03B,PRDT09_03,1,77,High,18.6,MUNA/MYNU,sapric peat,Other,Sapric peat,,28.5,,27,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT09_03A,PRDT09_03,1,76,High,19.1,SPMA/MYNU,sapric peat with S,SPMA,Sapric peat,,28.5,16.5,25.5,35,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT09_03A,PRDT09_03,1,76,High,19.1,SPMA/MYNU,sapric peat with S,SPMA,Sapric peat,,,8,26,33,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_03A,PRDT09_03,1,76,High,19.1,SPMA/MYNU,sapric peat with S,SPMA,Sapric peat,,29,3,25,13,,,b/yg,Brown/yellow-green,3,3,1,1,0,0,b/yg,RC
2017,2017-Mar,Transition,PRDT09_03A,PRDT09_03,1,76,High,19.1,SPMA/MYNU,sapric peat with S,SPMA,Sapric peat,,29,,25,,,,B,Brown,4,4,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_03A,PRDT09_03,1,76,High,19.1,SPMA/MYNU,sapric peat with S,SPMA,Sapric peat,,,,,,,,B,Brown,4,4,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_03A,PRDT09_03,1,76,High,19.1,SPMA/MYNU,sapric peat with S,SPMA,Sapric peat,,29,,26,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT09_04,PRDT09_04,0,78,High,23.8,OROB/SPMA,SP,Other,Sapric peat,,32,17.5,28.5,35,,,g,Green,1,1,1,1,0,0,"lots lwr branches, roots somewhat exposed",
2014,2014-Mar,Transition,PRDT09_04,PRDT09_04,0,78,High,23.8,OROB/SPMA,SP,Other,Sapric peat,,,8,28.5,38,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_04,PRDT09_04,0,78,High,23.8,OROB/SPMA,SP,Other,Sapric peat,,32,4.5,28,27,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT09_04,PRDT09_04,0,78,High,23.8,OROB/SPMA,SP,Other,Sapric peat,,33.5,,26,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_04,PRDT09_04,0,78,High,23.8,OROB/SPMA,SP,Other,Sapric peat,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_04,PRDT09_04,0,78,High,23.8,OROB/SPMA,SP,Other,Sapric peat,,31.5,,26.5,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT09_05,PRDT09_05,0,79,High,27.8,OROB w/ LEFO and MYNU,sapric peat,Other,Sapric peat,,28.5,17,25,34,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT09_05,PRDT09_05,0,79,High,27.8,OROB w/ LEFO and MYNU,sapric peat,Other,Sapric peat,,,5.5,26.5,33,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_05,PRDT09_05,0,79,High,27.8,OROB w/ LEFO and MYNU,sapric peat,Other,Sapric peat,,28,3,25.5,23,,,yg/b,Yellow-green/brown,2,2,1,1,0,0,y,RC
2017,2017-Mar,Transition,PRDT09_05,PRDT09_05,0,79,High,27.8,OROB w/ LEFO and MYNU,sapric peat,Other,Sapric peat,,28,,26,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_05,PRDT09_05,0,79,High,27.8,OROB w/ LEFO and MYNU,sapric peat,Other,Sapric peat,,,,,,,,B,Brown,4,4,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_05,PRDT09_05,0,79,High,27.8,OROB w/ LEFO and MYNU,sapric peat,Other,Sapric peat,,28.5,,26,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT09_06,PRDT09_06,0,80,High,35.5,MUNA,sapric peat,Other,Sapric peat,,26.5,9.5,24,29,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT09_06,PRDT09_06,0,80,High,35.5,MUNA,sapric peat,Other,Sapric peat,,,8.5,25,28,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT09_06,PRDT09_06,0,80,High,35.5,MUNA,sapric peat,Other,Sapric peat,,27,6.5,25,25,,,y,Yellow,2,2,1,1,0,0,y/b,RC
2017,2017-Mar,Transition,PRDT09_06,PRDT09_06,0,80,High,35.5,MUNA,sapric peat,Other,Sapric peat,,27,,24,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT09_06,PRDT09_06,0,80,High,35.5,MUNA,sapric peat,Other,Sapric peat,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT09_06,PRDT09_06,0,80,High,35.5,MUNA,sapric peat,Other,Sapric peat,,25.5,,24.5,,,,B/Y,Brown-yellow,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_01,PRDT10_01,0,37,High,5.3,"SPMA/MUNA in ""hole""",S and fibric peat,SPMA,Sapric peat,,22.5,8.5,22,24,15,,g,Green,1,1,1,1,0,0,1 leader /WD LB,
2014,2014-Mar,Transition,PRDT10_01,PRDT10_01,0,37,High,5.3,"SPMA/MUNA in ""hole""",S and fibric peat,SPMA,Sapric peat,,,5,27,20,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_01,PRDT10_01,0,37,High,5.3,"SPMA/MUNA in ""hole""",S and fibric peat,SPMA,Sapric peat,,21.5,2.5,23.5,17,,,yg,Yellow-green,2,2,1,1,0,0,yg/b,RC
2017,2017-Mar,Transition,PRDT10_01,PRDT10_01,0,37,High,5.3,"SPMA/MUNA in ""hole""",S and fibric peat,SPMA,Sapric peat,,24,,22,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_01,PRDT10_01,0,37,High,5.3,"SPMA/MUNA in ""hole""",S and fibric peat,SPMA,Sapric peat,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_01,PRDT10_01,0,37,High,5.3,"SPMA/MUNA in ""hole""",S and fibric peat,SPMA,Sapric peat,,21.5,,14.5,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_02B,PRDT10_02,1,39,High,9.9,MUNA,sapric peat,Other,Sapric peat,,29,15.5,28,27,,,g,Green,1,1,1,1,0,0,1 LWDB,
2014,2014-Mar,Transition,PRDT10_02B,PRDT10_02,1,39,High,9.9,MUNA,sapric peat,Other,Sapric peat,,,8.5,28.5,27,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_02B,PRDT10_02,1,39,High,9.9,MUNA,sapric peat,Other,Sapric peat,,29,4,27.5,18,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT10_02B,PRDT10_02,1,39,High,9.9,MUNA,sapric peat,Other,Sapric peat,,30,,27.5,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_02B,PRDT10_02,1,39,High,9.9,MUNA,sapric peat,Other,Sapric peat,,,,,,,,YG,Yellow-green,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_02B,PRDT10_02,1,39,High,9.9,MUNA,sapric peat,Other,Sapric peat,,29.5,,26.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_02A,PRDT10_02,1,38,High,10.4,S,"DS, sapric peat",SPMA,Dead Sphagnum,,34,13,27,31,,,g,Green,1,1,1,1,0,0,3 LWD branches,
2014,2014-Mar,Transition,PRDT10_02A,PRDT10_02,1,38,High,10.4,S,"DS, sapric peat",SPMA,Dead Sphagnum,,,7,27.5,31,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_02A,PRDT10_02,1,38,High,10.4,S,"DS, sapric peat",SPMA,Dead Sphagnum,,34,5,24.5,31,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT10_02A,PRDT10_02,1,38,High,10.4,S,"DS, sapric peat",SPMA,Dead Sphagnum,,33,,23.5,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_02A,PRDT10_02,1,38,High,10.4,S,"DS, sapric peat",SPMA,Dead Sphagnum,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_02A,PRDT10_02,1,38,High,10.4,S,"DS, sapric peat",SPMA,Dead Sphagnum,,33.5,,21.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_03B,PRDT10_03,1,41,High,15.1,"OROB W/ MUNA, MYNU",sapric peat,Other,Sapric peat,,25.5,6.5,23,27,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT10_03B,PRDT10_03,1,41,High,15.1,"OROB W/ MUNA, MYNU",sapric peat,Other,Sapric peat,,,6,24,29,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_03B,PRDT10_03,1,41,High,15.1,"OROB W/ MUNA, MYNU",sapric peat,Other,Sapric peat,,26,4,23.5,24,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT10_03B,PRDT10_03,1,41,High,15.1,"OROB W/ MUNA, MYNU",sapric peat,Other,Sapric peat,,27,,23.5,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_03B,PRDT10_03,1,41,High,15.1,"OROB W/ MUNA, MYNU",sapric peat,Other,Sapric peat,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_03B,PRDT10_03,1,41,High,15.1,"OROB W/ MUNA, MYNU",sapric peat,Other,Sapric peat,,26,,23,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_03A,PRDT10_03,1,40,High,14.7,S,"sapric, fibric peat",SPMA,Sapric peat,,23,5.5,19.5,18,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT10_03A,PRDT10_03,1,40,High,14.7,S,"sapric, fibric peat",SPMA,Sapric peat,,,4.5,17.5,18,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_03A,PRDT10_03,1,40,High,14.7,S,"sapric, fibric peat",SPMA,Sapric peat,,24,2,11.5,11,,,b/yg,Brown/yellow-green,3,3,1,1,0,0,b/gyg,RC
2017,2017-Mar,Transition,PRDT10_03A,PRDT10_03,1,40,High,14.7,S,"sapric, fibric peat",SPMA,Sapric peat,,21,,21,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_03A,PRDT10_03,1,40,High,14.7,S,"sapric, fibric peat",SPMA,Sapric peat,,,,,,,,B,Brown,4,4,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_03A,PRDT10_03,1,40,High,14.7,S,"sapric, fibric peat",SPMA,Sapric peat,,20,,6.5,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_04B,PRDT10_04,1,43,High,20.1,OROBMYNU,sapric peat,Other,Sapric peat,,26,10.5,20.5,29,,,g,Green,1,1,1,1,0,0,"roots exposed, lots lwr branches",
2014,2014-Mar,Transition,PRDT10_04B,PRDT10_04,1,43,High,20.1,OROBMYNU,sapric peat,Other,Sapric peat,,,6.5,21,29,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_04B,PRDT10_04,1,43,High,20.1,OROBMYNU,sapric peat,Other,Sapric peat,,24,4.5,20.5,22,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT10_04B,PRDT10_04,1,43,High,20.1,OROBMYNU,sapric peat,Other,Sapric peat,,25,,19,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_04B,PRDT10_04,1,43,High,20.1,OROBMYNU,sapric peat,Other,Sapric peat,,,,,,,,BY,Brown-yellow,3,3,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_04B,PRDT10_04,1,43,High,20.1,OROBMYNU,sapric peat,Other,Sapric peat,,23.5,,15.5,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_04A,PRDT10_04,1,42,High,19.9,S,sapric peat,SPMA,Sapric peat,,25,6,19,24,,,g,Green,1,1,1,1,0,0,1 WD LB,
2014,2014-Mar,Transition,PRDT10_04A,PRDT10_04,1,42,High,19.9,S,sapric peat,SPMA,Sapric peat,,,4,19.5,24,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_04A,PRDT10_04,1,42,High,19.9,S,sapric peat,SPMA,Sapric peat,,25,2,20.5,13,,,b/yg,Brown/yellow-green,3,3,1,1,0,0,b/yg,RC
2017,2017-Mar,Transition,PRDT10_04A,PRDT10_04,1,42,High,19.9,S,sapric peat,SPMA,Sapric peat,,26,,19,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_04A,PRDT10_04,1,42,High,19.9,S,sapric peat,SPMA,Sapric peat,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_04A,PRDT10_04,1,42,High,19.9,S,sapric peat,SPMA,Sapric peat,,22.5,,20,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_05B,PRDT10_05,1,45,High,26.9,OROB,sapric peat,Other,Sapric peat,,21,3.5,17.5,19,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Transition,PRDT10_05B,PRDT10_05,1,45,High,26.9,OROB,sapric peat,Other,Sapric peat,,,3.5,18,18,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_05B,PRDT10_05,1,45,High,26.9,OROB,sapric peat,Other,Sapric peat,,20,3,15.5,16,,,yg,Yellow-green,2,2,1,1,0,0,yg/b,RC
2017,2017-Mar,Transition,PRDT10_05B,PRDT10_05,1,45,High,26.9,OROB,sapric peat,Other,Sapric peat,,20,,15,,,,YG,Yellow-green,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_05B,PRDT10_05,1,45,High,26.9,OROB,sapric peat,Other,Sapric peat,,,,,,,,GY,Green-yellow,1,1,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_05B,PRDT10_05,1,45,High,26.9,OROB,sapric peat,Other,Sapric peat,,19.5,,10.5,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Transition,PRDT10_05A,PRDT10_05,1,44,High,26.7,S,"SP, fibric peat",SPMA,Fibric peat,,20,4,16.5,19,12,,g,Green,1,1,1,1,0,0,"roots in SPMA, lots branching",
2014,2014-Mar,Transition,PRDT10_05A,PRDT10_05,1,44,High,26.7,S,"SP, fibric peat",SPMA,Fibric peat,,,3.5,16.5,21,,,,,,,1,1,0,0,,
2016,2016-Feb,Transition,PRDT10_05A,PRDT10_05,1,44,High,26.7,S,"SP, fibric peat",SPMA,Fibric peat,,20,3.5,11.5,21,,,yg,Yellow-green,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Transition,PRDT10_05A,PRDT10_05,1,44,High,26.7,S,"SP, fibric peat",SPMA,Fibric peat,,19,,16,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Transition,PRDT10_05A,PRDT10_05,1,44,High,26.7,S,"SP, fibric peat",SPMA,Fibric peat,,,,,,,,Y,Yellow,2,2,1,1,0,0,,
2019,2019-Mar,Transition,PRDT10_05A,PRDT10_05,1,44,High,26.7,S,"SP, fibric peat",SPMA,Fibric peat,,18.5,,14,,,,G,Green,1,1,1,1,0,0,,
2013,2013-Mar,Cushion,PU01_01B,PU01_01,1,82,High,1.9,"D-SPMAw/ TEMA, golf grn, OROB","fibric peat, SP",Lawn,Fibric peat,,19.5,6.5,18.5,23,,,g,Green,1,1,1,1,0,0,roots denuded,
2014,2014-Mar,Cushion,PU01_01B,PU01_01,1,82,High,1.9,"D-SPMAw/ TEMA, golf grn, OROB","fibric peat, SP",Lawn,Fibric peat,,,6,19.5,17,,,,,,,1,1,0,0,,
2016,2016-Feb,Cushion,PU01_01B,PU01_01,1,82,High,1.9,"D-SPMAw/ TEMA, golf grn, OROB","fibric peat, SP",Lawn,Fibric peat,,20.5,4,20,16,,,b/yg,Brown/yellow-green,3,3,1,1,0,0,yg,RC
2017,2017-Mar,Cushion,PU01_01B,PU01_01,1,82,High,1.9,"D-SPMAw/ TEMA, golf grn, OROB","fibric peat, SP",Lawn,Fibric peat,,23,,19,,,,Y,Yellow,2,2,1,1,0,0,,
2018,2018-Mar,Cushion,PU01_01B,PU01_01,1,82,High,1.9,"D-SPMAw/ TEMA, golf grn, OROB","fibric peat, SP",Lawn,Fibric peat,,,,,,,,GB,Green-brown,1,1,1,1,0,0,,
2019,2019-Mar,Cushion,PU01_01B,PU01_01,1,82,High,1.9,"D-SPMAw/ TEMA, golf grn, OROB","fibric peat, SP",Lawn,Fibric peat,,20.5,,17,,,,B,Brown,4,4,1,1,0,0,,
2013,2013-Mar,Cushion,PU01_01A,PU01_01,1,81,High,1.8,pool,SP,Pool,Sapric peat,,20.5,5.5,19,28,,,g,Green,1,1,1,1,0,0,lots branching mid to tip,
2014,2014-Mar,Cushion,PU01_01A,PU01_01,1,81,High,1.8,pool,SP,Pool,Sapric peat,0,,5.5,20,21,,,,,,,1,1,0,0,,
2016,2016-Feb,Cushion,PU01_01A,PU01_01,1,81,High,1.8,pool,SP,Pool,Sapric peat,,21,1.5,20.5,17,,,b/yg,Brown/yellow-green,3,3,1,1,0,0,yg/b,RC
2017,2017-Mar,Cushion,PU01_01A,PU01_01,1,81,High,1.8,pool,SP,Pool,Sapric peat,,23,,21,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Cushion,PU01_01A,PU01_01,1,81,High,1.8,pool,SP,Pool,Sapric peat,,,,,,,,B,Brown,4,4,1,1,0,0,,
2019,2019-Mar,Cushion,PU01_01A,PU01_01,1,81,High,1.8,pool,SP,Pool,Sapric peat,4,21,,20.5,,,,B,Brown,4,4,1,1,0,0,,
2013,2013-Mar,Cushion,PU01_02B,PU01_02,1,84,High,6.3,DONA/OROB,NSP,Lawn,Fibric peat,,33.5,16,32.5,41,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Cushion,PU01_02B,PU01_02,1,84,High,6.3,DONA/OROB,NSP,Lawn,Fibric peat,,,13,33.5,40,,,,,,,1,1,0,0,,
2016,2016-Feb,Cushion,PU01_02B,PU01_02,1,84,High,6.3,DONA/OROB,NSP,Lawn,Fibric peat,,34.5,5.5,34.5,31,,,y,Yellow,2,2,1,1,0,0,yg,RC
2017,2017-Mar,Cushion,PU01_02B,PU01_02,1,84,High,6.3,DONA/OROB,NSP,Lawn,Fibric peat,,34,,33,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Cushion,PU01_02B,PU01_02,1,84,High,6.3,DONA/OROB,NSP,Lawn,Fibric peat,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Cushion,PU01_02B,PU01_02,1,84,High,6.3,DONA/OROB,NSP,Lawn,Fibric peat,,34.5,,31,,,,B/G,Brown-green,3,3,1,1,0,0,,
2013,2013-Mar,Cushion,PU01_02A,PU01_02,1,83,High,6.4,pool,SP and NSP,Pool,Sapric peat,3,36,18,35,45,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Cushion,PU01_02A,PU01_02,1,83,High,6.4,pool,SP and NSP,Pool,Sapric peat,1,,9,34,46,,,,,,,1,1,0,0,,
2016,2016-Feb,Cushion,PU01_02A,PU01_02,1,83,High,6.4,pool,SP and NSP,Pool,Sapric peat,,35.5,3.5,34.5,43,,,y,Yellow,2,2,1,1,0,0,y,RC
2017,2017-Mar,Cushion,PU01_02A,PU01_02,1,83,High,6.4,pool,SP and NSP,Pool,Sapric peat,,37,,29.5,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Cushion,PU01_02A,PU01_02,1,83,High,6.4,pool,SP and NSP,Pool,Sapric peat,,,,,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2019,2019-Mar,Cushion,PU01_02A,PU01_02,1,83,High,6.4,pool,SP and NSP,Pool,Sapric peat,3,36,,30,,,,G/B,Green-brown,1,1,1,1,0,0,,
2013,2013-Mar,Cushion,PU01_03A,PU01_03,1,85,High,10.4,TEMA/Misc moss,FNSP,Lawn,Fibric peat,,28,11.5,27,31,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Cushion,PU01_03A,PU01_03,1,85,High,10.4,TEMA/Misc moss,FNSP,Lawn,Fibric peat,,,7,28,29,,,,,,,1,1,0,0,"I have this one noted as ""pool"" treament, but assuming I recorded incorrectly this year",
2016,2016-Feb,Cushion,PU01_03A,PU01_03,1,85,High,10.4,TEMA/Misc moss,FNSP,Lawn,Fibric peat,,25,2.5,22.5,20,,,b/yg,Brown/yellow-green,3,3,1,1,0,0,y/b,RC
2017,2017-Mar,Cushion,PU01_03A,PU01_03,1,85,High,10.4,TEMA/Misc moss,FNSP,Lawn,Fibric peat,,25,,22,,,,YB,Yellow-brown,2,2,1,1,0,0,,
2018,2018-Mar,Cushion,PU01_03A,PU01_03,1,85,High,10.4,TEMA/Misc moss,FNSP,Lawn,Fibric peat,,,,,,,,GB,Green-brown,1,1,1,1,0,0,,
2019,2019-Mar,Cushion,PU01_03A,PU01_03,1,85,High,10.4,TEMA/Misc moss,FNSP,Lawn,Fibric peat,7.5,24.5,,22.5,,,,YG,Yellow-green,2,2,1,1,0,0,,
2013,2013-Mar,Cushion,PU01_03B,PU01_03,1,86,High,10.4,pool,FNSP,Pool,Fibric peat,5.5,24.5,11,23,33,,,g,Green,1,1,1,1,0,0,,
2014,2014-Mar,Cushion,PU01_03B,PU01_03,1,86,High,10.4,pool,FNSP,Pool,Fibric peat,4,,4.5,23,19,,,,,,,1,1,0,0,,
2016,2016-Feb,Cushion,PU01_03B,PU01_03,1,86,High,10.4,pool,FNSP,Pool,Fibric peat,,29,4.5,26,21,,,y,Yellow,2,2,1,1,0,0,y,RC
2017,2017-Mar,Cushion,PU01_03B,PU01_03,1,86,High,10.4,pool,FNSP,Pool,Fibric peat,,29,,26,,,,YG,Yellow-green,2,2,1,1,0,0,,
